section,canonical_field,type,lengow_raw_field,shoppingfeed_raw_field,channelengine_raw_field,mirakl_raw_field,notes
,,,,,,
ORDER — top-level,,,,,,
,aggregator_order_id,str,marketplace_order_id,id (cast to str),ChannelOrderNo,order_id,Platform's own order identifier
,marketplace_order_id,str,marketplace_order_id,reference,MerchantOrderNo (→ ChannelOrderNo),order_id,Lengow and Mirakl share the same value for both IDs; CE separates channel vs merchant
,aggregator_id,int,SDK constant (3),SDK constant (2),SDK constant (6),SDK constant (0),Set at client level — not present in raw payload
,marketplace_id,int,LENGOW_MARKETPLACE_MAPPING lookup,_embedded.channel.id / channelId,constructor param,constructor param,Resolved from a lookup table (Lengow) or set once on the client
,brand_id,int,brand.id (constructor),brand.id (constructor),brand.id (constructor),brand.id (constructor),Always injected from the Brand object — not in the payload
,order_date,datetime,marketplace_order_date,createdAt,CreatedAt,created_date,
,status,str,lengow_status,status,Status,order_state,Each platform uses its own status vocabulary
,eur_amount_excl_vat,Decimal,X (hardcoded 0),X (hardcoded 0),TotalExclVat,X (hardcoded 0),Only ChannelEngine /v2/orders provides an excl-VAT total directly
,eur_amount_incl_vat,Decimal,total_order,payment.totalAmount,TotalInclVat,price,
,eur_shipping_fee_excl_vat,Decimal,X (hardcoded 0),X (hardcoded 0),ShippingCostsExclVat,X (hardcoded 0),Only ChannelEngine provides excl-VAT shipping directly
,eur_shipping_fee_incl_vat,Decimal,shipping,payment.shippingAmount,ShippingCostsInclVat,shipping_price,
,original_currency,str,currency (or original_currency),payment.currency,CurrencyCode,currency_iso_code,
,original_amount,Decimal,original_total_order,payment.totalAmount (same),OriginalTotalInclVat (→ TotalInclVat),price (same as EUR),Mirakl does not provide original currency amount separately
,original_shipping_fee,Decimal,original_shipping,payment.shippingAmount (same),OriginalShippingCostsInclVat (→ ShippingCostsInclVat),shipping_price (same as EUR),
,payment_method,str,payments[0].type,X (order) / payment.method (invoice),PaymentMethod,payment_type,ShoppingFeed payment.method is only used in invoice mapping
,vat_rate,Decimal,X,X,X,X,Per-line only; no order-level VAT rate on any platform
,shipping_vat_rate,Decimal,X,X,ShippingCostsVatRate,X,Only available in ChannelEngine raw payload
,oms,str,X,X,X,X,SDK-internal field — never set by any mapper
,oms_order_id,str,X,X,X,X,SDK-internal field — never set by any mapper
,created_date,datetime,marketplace_order_date,createdAt,CreatedAt,created_date,Mapped same as order_date
,updated_date,datetime,updated_at,updatedAt,UpdatedAt,last_updated_date,
,id,int,X,X,X,X,Internal DB auto-increment — not populated by any mapper
